Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.28571429,313
"Nu: 0.99, Gamma: 0.0625",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,3,0,32,91.42857143,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0001, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.5",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0001, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,21,8,30.3030303,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0002, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,29,0,12.12121212,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0002, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0002, Gamma: 0.5",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,25,4,18.18181818,10,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,21,8,30.3030303,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0003, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.5",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,1,21,8,33.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.0004, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.5",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,1,21,8,33.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.0001",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.0002",4,0,29,0,12.12121212,10,40,,,
"Nu: 0.005, Gamma: 0.0003",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.0004",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.5",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.005, Gamma: 0.99",2,2,21,8,30.3030303,10,40,,,
"Nu: 0.05, Gamma: 0.0001",4,0,29,0,12.12121212,10,40,,,
"Nu: 0.05, Gamma: 0.0002",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.0003",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.0004",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.05, Gamma: 0.5",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.05, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.05, Gamma: 0.9",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.05, Gamma: 0.99",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.0625, Gamma: 0.5",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.9",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.99",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.0001",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,26,3,21.21212121,10,40,,,
"Nu: 0.1, Gamma: 0.5",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.7",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.9",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.99",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,23,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,23,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,23,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,23,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,23,6,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,24,5,24.24242424,10,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,24,5,24.24242424,10,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,25,4,21.21212121,10,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,26,3,18.18181818,10,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,24,5,21.21212121,10,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.99",1,3,21,8,27.27272727,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,14,15,51.51515152,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,14,15,51.51515152,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,14,15,51.51515152,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,14,15,51.51515152,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,14,15,51.51515152,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,13,16,54.54545455,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,13,16,54.54545455,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,13,16,54.54545455,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,2,17,12,42.42424242,10,40,,,
"Nu: 0.5, Gamma: 0.5",1,3,22,7,24.24242424,10,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,20,9,30.3030303,10,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,20,9,30.3030303,10,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,20,9,30.3030303,10,40,,,
"Nu: 0.7, Gamma: 0.0001",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.0002",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.0003",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.0004",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.05",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.0625",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,10,19,63.63636364,10,40,,,
"Nu: 0.7, Gamma: 0.2",2,2,9,20,66.66666667,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,4,5,24,72.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.7",0,4,3,26,78.78787879,10,40,,,
"Nu: 0.7, Gamma: 0.9",0,4,3,26,78.78787879,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,3,3,26,81.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0001",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.9, Gamma: 0.0002",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.9, Gamma: 0.0003",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.9, Gamma: 0.0004",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.9, Gamma: 0.005",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.9, Gamma: 0.05",2,2,6,23,75.75757576,10,40,,,
"Nu: 0.9, Gamma: 0.0625",2,2,7,22,72.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.1",2,2,6,23,75.75757576,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,7,22,66.66666667,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.0001",1,3,1,28,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.0002",1,3,1,28,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.0003",1,3,1,28,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.0004",1,3,1,28,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.005",1,3,1,28,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.05",2,2,2,27,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.0625",2,2,2,27,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.1",2,2,3,26,84.84848485,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,29,87.87878788,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,29,87.87878788,10,40,,,
,,,,,,,,,,
Target Class: raytrace_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0001, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0001, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0001, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0001, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.0001, Gamma: 0.5",3,0,27,5,22.85714286,10,40,,,
"Nu: 0.0001, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0001, Gamma: 0.99",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0002, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0002, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0002, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0002, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.0002, Gamma: 0.5",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0002, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0003, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0003, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0003, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0003, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.0003, Gamma: 0.5",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0003, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",3,0,26,6,25.71428571,10,40,,,
"Nu: 0.0004, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0004, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0004, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0004, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.0004, Gamma: 0.5",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0004, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.0001",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.0002",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.0003",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.0004",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.005, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.005, Gamma: 0.5",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.005, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.0001",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.0002",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.0003",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.0004",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.05, Gamma: 0.2",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.05, Gamma: 0.5",3,0,28,4,20,10,40,,,
"Nu: 0.05, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.05, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.005",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.0625, Gamma: 0.2",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.5",3,0,28,4,20,10,40,,,
"Nu: 0.0625, Gamma: 0.7",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.9",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.0625, Gamma: 0.99",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.0001",3,0,31,1,11.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.0002",3,0,31,1,11.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.0003",3,0,31,1,11.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.0004",3,0,31,1,11.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.005",3,0,31,1,11.42857143,10,40,,,
"Nu: 0.1, Gamma: 0.05",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.1, Gamma: 0.0625",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.1, Gamma: 0.1",3,0,32,0,8.571428571,10,40,,,
"Nu: 0.1, Gamma: 0.2",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.1, Gamma: 0.5",3,0,28,4,20,10,40,,,
"Nu: 0.1, Gamma: 0.7",3,0,28,4,20,10,40,,,
"Nu: 0.1, Gamma: 0.9",3,0,28,4,20,10,40,,,
"Nu: 0.1, Gamma: 0.99",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0001",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0002",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0003",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.0004",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.005",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.05",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.0625",3,0,29,3,17.14285714,10,40,,,
"Nu: 0.2, Gamma: 0.1",3,0,30,2,14.28571429,10,40,,,
"Nu: 0.2, Gamma: 0.2",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.5",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.7",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.9",3,0,28,4,20,10,40,,,
"Nu: 0.2, Gamma: 0.99",3,0,28,4,20,10,40,,,
"Nu: 0.5, Gamma: 0.0001",2,1,14,18,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.0002",2,1,13,19,60,10,40,,,
"Nu: 0.5, Gamma: 0.0003",2,1,13,19,60,10,40,,,
"Nu: 0.5, Gamma: 0.0004",2,1,13,19,60,10,40,,,
"Nu: 0.5, Gamma: 0.005",2,1,14,18,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.05",2,1,14,18,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.0625",2,1,15,17,54.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.1",2,1,15,17,54.28571429,10,40,,,
"Nu: 0.5, Gamma: 0.2",2,1,10,22,68.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.5",3,0,15,17,57.14285714,10,40,,,
"Nu: 0.5, Gamma: 0.7",2,1,17,15,48.57142857,10,40,,,
"Nu: 0.5, Gamma: 0.9",2,1,18,14,45.71428571,10,40,,,
"Nu: 0.5, Gamma: 0.99",2,1,21,11,37.14285714,10,40,,,
"Nu: 0.7, Gamma: 0.0001",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0002",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0003",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0004",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.005",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.05",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.0625",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.1",2,1,8,24,74.28571429,10,40,,,
"Nu: 0.7, Gamma: 0.2",1,2,8,24,71.42857143,10,40,,,
"Nu: 0.7, Gamma: 0.5",0,3,2,30,85.71428571,10,40,,,
"Nu: 0.7, Gamma: 0.7",1,2,9,23,68.57142857,10,40,,,
"Nu: 0.7, Gamma: 0.9",1,2,12,20,60,10,40,,,
"Nu: 0.7, Gamma: 0.99",1,2,12,20,60,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,3,5,27,77.14285714,10,40,,,
"Nu: 0.9, Gamma: 0.2",0,3,1,31,88.57142857,10,40,,,
"Nu: 0.9, Gamma: 0.5",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.7",0,3,0,32,91.42857143,10,40,,,
"Nu: 0.9, Gamma: 0.9",0,3,1,31,88.57142857,10,40,,,
"Nu: 0.9, Gamma: 0.99",0,3,1,31,88.57142857,10,40,,,
